Python 2.7.9 (default, Dec 10 2014, 12:24:55) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
Delta Y, Time, Tao, Acceration, Velocity
2.000,0.000,0.225,-9.800,0.000
1.999,0.010,0.225,-9.800,-0.098
1.997,0.020,0.225,-9.374,-0.192
1.994,0.030,0.225,-8.966,-0.281
1.991,0.040,0.225,-8.577,-0.367
1.986,0.050,0.225,-8.204,-0.449
1.981,0.060,0.225,-7.847,-0.528
1.975,0.070,0.225,-7.506,-0.603
1.968,0.080,0.225,-7.180,-0.675
1.961,0.090,0.225,-6.868,-0.743
1.953,0.100,0.225,-6.569,-0.809
1.944,0.110,0.225,-6.284,-0.872
1.935,0.120,0.225,-6.010,-0.932
1.925,0.130,0.225,-5.749,-0.989
1.914,0.140,0.225,-5.499,-1.044
1.903,0.150,0.225,-5.260,-1.097
1.892,0.160,0.225,-5.031,-1.147
1.880,0.170,0.225,-4.813,-1.195
1.867,0.180,0.225,-4.604,-1.241
1.855,0.190,0.225,-4.403,-1.285
1.841,0.200,0.225,-4.212,-1.328
1.828,0.210,0.225,-4.029,-1.368
1.813,0.220,0.225,-3.854,-1.406
1.799,0.230,0.225,-3.686,-1.443
1.784,0.240,0.225,-3.526,-1.479
1.769,0.250,0.225,-3.373,-1.512
1.754,0.260,0.225,-3.226,-1.545
1.738,0.270,0.225,-3.086,-1.575
1.722,0.280,0.225,-2.952,-1.605
1.706,0.290,0.225,-2.823,-1.633
1.689,0.300,0.225,-2.701,-1.660
1.672,0.310,0.225,-2.583,-1.686
1.655,0.320,0.225,-2.471,-1.711
1.638,0.330,0.225,-2.364,-1.734
1.620,0.340,0.225,-2.261,-1.757
1.602,0.350,0.225,-2.163,-1.779
1.584,0.360,0.225,-2.069,-1.799
1.566,0.370,0.225,-1.979,-1.819
1.548,0.380,0.225,-1.893,-1.838
1.529,0.390,0.225,-1.810,-1.856
1.510,0.400,0.225,-1.732,-1.873
1.492,0.410,0.225,-1.656,-1.890
1.473,0.420,0.225,-1.584,-1.906
1.453,0.430,0.225,-1.515,-1.921
1.434,0.440,0.225,-1.450,-1.935
1.414,0.450,0.225,-1.387,-1.949
1.395,0.460,0.225,-1.326,-1.963
1.375,0.470,0.225,-1.269,-1.975
1.355,0.480,0.225,-1.213,-1.987
1.335,0.490,0.225,-1.161,-1.999
1.315,0.500,0.225,-1.110,-2.010
1.295,0.510,0.225,-1.062,-2.021
1.275,0.520,0.225,-1.016,-2.031
1.254,0.530,0.225,-0.972,-2.041
1.234,0.540,0.225,-0.929,-2.050
1.213,0.550,0.225,-0.889,-2.059
1.192,0.560,0.225,-0.850,-2.067
1.172,0.570,0.225,-0.813,-2.075
1.151,0.580,0.225,-0.778,-2.083
1.130,0.590,0.225,-0.744,-2.091
1.109,0.600,0.225,-0.712,-2.098
1.088,0.610,0.225,-0.681,-2.105
1.067,0.620,0.225,-0.651,-2.111
1.046,0.630,0.225,-0.623,-2.117
1.024,0.640,0.225,-0.596,-2.123
1.003,0.650,0.225,-0.570,-2.129
0.982,0.660,0.225,-0.545,-2.134
0.960,0.670,0.225,-0.522,-2.140
0.939,0.680,0.225,-0.499,-2.145
0.917,0.690,0.225,-0.477,-2.149
0.896,0.700,0.225,-0.456,-2.154
0.874,0.710,0.225,-0.437,-2.158
0.853,0.720,0.225,-0.418,-2.162
0.831,0.730,0.225,-0.399,-2.166
0.809,0.740,0.225,-0.382,-2.170
0.788,0.750,0.225,-0.365,-2.174
0.766,0.760,0.225,-0.350,-2.177
0.744,0.770,0.225,-0.334,-2.181
0.722,0.780,0.225,-0.320,-2.184
0.700,0.790,0.225,-0.306,-2.187
0.678,0.800,0.225,-0.293,-2.190
0.656,0.810,0.225,-0.280,-2.193
0.635,0.820,0.225,-0.268,-2.195
0.613,0.830,0.225,-0.256,-2.198
0.591,0.840,0.225,-0.245,-2.200
0.568,0.850,0.225,-0.234,-2.203
0.546,0.860,0.225,-0.224,-2.205
0.524,0.870,0.225,-0.214,-2.207
0.502,0.880,0.225,-0.205,-2.209
0.480,0.890,0.225,-0.196,-2.211
0.458,0.900,0.225,-0.188,-2.213
0.436,0.910,0.225,-0.179,-2.215
0.414,0.920,0.225,-0.172,-2.217
0.392,0.930,0.225,-0.164,-2.218
0.369,0.940,0.225,-0.157,-2.220
0.347,0.950,0.225,-0.150,-2.221
0.325,0.960,0.225,-0.144,-2.223
0.303,0.970,0.225,-0.137,-2.224
0.280,0.980,0.225,-0.132,-2.225
0.258,0.990,0.225,-0.126,-2.227
0.236,1.000,0.225,-0.120,-2.228
0.214,1.010,0.225,-0.115,-2.229
0.191,1.020,0.225,-0.110,-2.230
0.169,1.030,0.225,-0.105,-2.231
0.147,1.040,0.225,-0.101,-2.232
0.124,1.050,0.225,-0.096,-2.233
0.102,1.060,0.225,-0.092,-2.234
0.080,1.070,0.225,-0.088,-2.235
0.057,1.080,0.225,-0.084,-2.236
0.035,1.090,0.225,-0.081,-2.237
0.013,1.100,0.225,-0.077,-2.237

>>> ================================ RESTART ================================
>>> 
